"TreeID","Year","first_stage2_date","April_Days","Air_Temp","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Rain_mm_Tot"
21,2009,2009-04-16,15,NA,NA,NA,NA,NA
21,2012,2012-04-13,12,8.1,11.7,2.4,23.8,4
21,2013,2013-05-06,35,8,12.1,2.4,21.8,1.4
21,2015,2015-04-23,22,9.9,15.2,2.6,26.6,0.7
21,2016,2016-05-05,34,8.7,12.4,2.5,22.5,1.4
21,2017,2017-04-14,13,10,14.4,2.2,25.3,0.1
21,2018,2018-04-24,23,11.3,15.1,6.7,19,2.9
22,2007,2007-04-10,9,NA,NA,NA,NA,NA
22,2008,2008-04-22,21,NA,NA,NA,NA,NA
22,2009,2009-04-16,15,NA,NA,NA,NA,NA
22,2012,2012-04-19,18,8.1,11.7,2.4,23.8,4
22,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
22,2015,2015-04-16,15,9.9,15.2,2.6,26.6,0.7
22,2016,2016-04-19,18,8.7,12.4,2.5,22.5,1.4
22,2017,2017-04-14,13,10,14.4,2.2,25.3,0.1
22,2018,2018-04-21,20,11.3,15.1,6.7,19,2.9
22,2022,2022-04-19,18,8.9,15.4,3.2,12.3,0.7
22,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
22,2024,2024-04-29,28,9.7,13.8,5.6,17.4,1.8
23,2007,2007-04-10,9,NA,NA,NA,NA,NA
23,2010,2010-04-18,17,9.7,14.1,1.7,26.2,0.7
23,2012,2012-04-03,2,8.1,11.7,2.4,23.8,4
23,2015,2015-04-16,15,9.9,15.2,2.6,26.6,0.7
23,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
23,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
23,2018,2018-04-17,16,11.3,15.1,6.7,19,2.9
23,2021,2021-04-29,28,6.7,13.3,0.1,14.4,0.4
23,2022,2022-04-07,6,8.9,15.4,3.2,12.3,0.7
23,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
23,2024,2024-04-17,16,9.7,13.8,5.6,17.4,1.8
24,2007,2007-04-12,11,NA,NA,NA,NA,NA
24,2010,2010-04-26,25,9.7,14.1,1.7,26.2,0.7
24,2012,2012-04-13,12,8.1,11.7,2.4,23.8,4
24,2015,2015-04-16,15,9.9,15.2,2.6,26.6,0.7
24,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
24,2017,2017-04-14,13,10,14.4,2.2,25.3,0.1
24,2018,2018-04-21,20,11.3,15.1,6.7,19,2.9
24,2021,2021-04-29,28,6.7,13.3,0.1,14.4,0.4
24,2022,2022-04-19,18,8.9,15.4,3.2,12.3,0.7
24,2023,2023-04-27,26,8.8,13.3,2.9,18.2,2.9
24,2024,2024-04-17,16,9.7,13.8,5.6,17.4,1.8
25,2007,2007-04-10,9,NA,NA,NA,NA,NA
25,2012,2012-04-17,16,8.1,11.7,2.4,23.8,4
26,2007,2007-04-14,13,NA,NA,NA,NA,NA
26,2008,2008-04-24,23,NA,NA,NA,NA,NA
26,2009,2009-04-14,13,NA,NA,NA,NA,NA
26,2010,2010-04-21,20,9.7,14.1,1.7,26.2,0.7
26,2011,2011-04-07,6,12.4,18.1,4.8,23.9,0
26,2012,2012-04-22,21,8.1,11.7,2.4,23.8,4
26,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
26,2015,2015-04-18,17,9.9,15.2,2.6,26.6,0.7
26,2016,2016-04-20,19,8.7,12.4,2.5,22.5,1.4
26,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
26,2018,2018-04-19,18,11.3,15.1,6.7,19,2.9
27,2007,2007-04-12,11,NA,NA,NA,NA,NA
27,2008,2008-04-26,25,NA,NA,NA,NA,NA
27,2009,2009-04-14,13,NA,NA,NA,NA,NA
27,2010,2010-04-21,20,9.7,14.1,1.7,26.2,0.7
27,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
27,2012,2012-04-20,19,8.1,11.7,2.4,23.8,4
27,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
27,2015,2015-04-18,17,9.9,15.2,2.6,26.6,0.7
27,2016,2016-04-17,16,8.7,12.4,2.5,22.5,1.4
27,2017,2017-04-07,6,10,14.4,2.2,25.3,0.1
