"date","score"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","2"
"13/04/2015","0"
"13/04/2015","2"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","1"
"13/04/2015","3"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","2"
"13/04/2015","3"
"14/04/2015","1"
"14/04/2015","2"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","2"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","3"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","2"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","3"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","3"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","2"
"14/04/2015","3"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","3"
"14/04/2015","2"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","2"
"14/04/2015","3"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","3"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","3"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","1"
"15/04/2015","3"
"15/04/2015","3"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","1"
"15/04/2015","2"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","3"
"15/04/2015","0"
"15/04/2015","0"
"15/04/2015","1"
"15/04/2015","3"
"15/04/2015","1"
"15/04/2015","0"
"16/04/2015","0"
"16/04/2015","0"
"16/04/2015","0"
"16/04/2015","0"
"16/04/2015","0"
"16/04/2015","1"
"16/04/2015","0"
"16/04/2015","2"
"16/04/2015","2"
"16/04/2015","0"
"16/04/2015","3"
"16/04/2015","1"
"16/04/2015","0"
"16/04/2015","2"
"16/04/2015","0"
"15/04/2015","0"
"15/04/2015","0"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"16/04/2015","0"
"16/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","2"
"17/04/2015","1"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","3"
"17/04/2015","2"
"17/04/2015","3"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","4"
"17/04/2015","4"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","3"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","2"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","1"
"17/04/2015","3"
"17/04/2015","3"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","2"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","4"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","4"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","1"
"16/04/2015","2"
"16/04/2015","2"
"17/04/2015","2"
"17/04/2015","4"
"17/04/2015","0"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","2"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","0"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","2"
"17/04/2015","4"
"17/04/2015","4"
"17/04/2015","0"
"17/04/2015","0"
"17/04/2015","4"
"17/04/2015","4"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","3"
"17/04/2015","4"
"17/04/2015","1"
"17/04/2015","2"
"17/04/2015","3"
"17/04/2015","1"
"17/04/2015","1"
"17/04/2015","1"
"14/04/2015","0"
"17/04/2015","2"
"17/04/2015","0"
"17/04/2015","2"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","0"
"18/04/2015","4"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","4"
"18/04/2015","1"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","1"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","4"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","2"
"18/04/2015","3"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","1"
"18/04/2015","0"
"18/04/2015","1"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","0"
"18/04/2015","3"
"18/04/2015","3"
"18/04/2015","2"
"18/04/2015","2"
