"TreeID","Year","first_stage2_date","Julian_Day"
30,2015,2015-04-15,105
30,2016,2016-04-18,109
30,2017,2017-04-06,96
30,2018,2018-04-20,110
30,2021,2021-04-27,117
30,2022,2022-04-11,101
30,2023,2023-04-28,118
30,2024,2024-04-18,109
31,2007,2007-04-14,104
31,2008,2008-04-27,118
31,2009,2009-04-20,110
31,2010,2010-04-29,119
31,2011,2011-04-09,99
31,2012,2012-04-10,101
31,2013,2013-05-06,126
31,2015,2015-04-24,114
31,2016,2016-04-18,109
31,2017,2017-04-11,101
31,2018,2018-04-23,113
31,2022,2022-04-20,110
31,2023,2023-04-28,118
31,2024,2024-04-18,109
32,2007,2007-04-12,102
32,2011,2011-04-09,99
32,2013,2013-05-02,122
32,2018,2018-04-23,113
32,2021,2021-04-27,117
32,2022,2022-04-20,110
32,2023,2023-04-28,118
32,2024,2024-04-10,101
33,2007,2007-04-14,104
33,2011,2011-04-13,103
33,2013,2013-05-02,122
33,2018,2018-04-23,113
33,2021,2021-05-03,123
33,2022,2022-04-20,110
33,2023,2023-04-18,108
33,2024,2024-04-10,101
34,2007,2007-04-10,100
34,2008,2008-04-25,116
34,2009,2009-04-16,106
34,2010,2010-05-01,121
35,2007,2007-04-06,96
35,2011,2011-04-09,99
35,2013,2013-05-04,124
36,2007,2007-04-06,96
36,2011,2011-04-13,103
36,2013,2013-05-04,124
37,2007,2007-04-06,96
37,2011,2011-04-09,99
37,2013,2013-04-26,116
38,2007,2007-04-10,100
38,2011,2011-04-09,99
38,2013,2013-05-02,122
39,2007,2007-04-10,100
39,2011,2011-04-09,99
39,2013,2013-04-26,116
39,2018,2018-04-20,110
39,2021,2021-04-27,117
39,2022,2022-04-11,101
39,2023,2023-04-28,118
39,2024,2024-04-18,109
40,2007,2007-04-10,100
40,2011,2011-04-11,101
40,2013,2013-04-30,120
41,2007,2007-04-10,100
41,2011,2011-04-11,101
41,2013,2013-04-30,120
41,2018,2018-04-20,110
41,2021,2021-04-27,117
41,2022,2022-04-11,101
41,2023,2023-04-28,118
41,2024,2024-04-08,99
42,2007,2007-04-08,98
42,2011,2011-04-09,99
42,2013,2013-04-30,120
42,2016,2016-04-25,116
42,2017,2017-04-13,103
42,2018,2018-04-20,110
42,2021,2021-04-27,117
42,2022,2022-04-11,101
42,2023,2023-04-28,118
42,2024,2024-04-08,99
43,2007,2007-04-08,98
43,2011,2011-04-13,103
43,2013,2013-04-30,120
44,2007,2007-04-14,104
44,2011,2011-04-17,107
44,2013,2013-05-04,124
44,2016,2016-05-07,128
44,2017,2017-04-15,105
44,2018,2018-04-20,110
44,2021,2021-05-26,146
44,2022,2022-04-11,101
44,2023,2023-05-17,137
44,2024,2024-04-18,109
45,2007,2007-04-20,110
45,2011,2011-04-09,99
45,2013,2013-05-10,130
45,2018,2018-04-26,116
45,2022,2022-04-25,115
45,2024,2024-04-18,109
46,2007,2007-04-12,102
46,2008,2008-04-25,116
46,2009,2009-04-18,108
46,2010,2010-04-25,115
46,2011,2011-04-11,101
46,2012,2012-04-26,117
46,2013,2013-05-04,124
46,2015,2015-04-22,112
46,2016,2016-05-03,124
46,2017,2017-04-11,101
46,2018,2018-04-23,113
46,2021,2021-04-27,117
46,2022,2022-04-20,110
46,2023,2023-04-26,116
46,2024,2024-04-18,109
47,2007,2007-04-20,110
47,2008,2008-04-25,116
47,2009,2009-04-18,108
47,2010,2010-04-27,117
47,2011,2011-04-13,103
47,2012,2012-04-30,121
47,2013,2013-05-04,124
47,2015,2015-04-19,109
47,2016,2016-05-03,124
47,2017,2017-04-15,105
47,2018,2018-04-23,113
47,2021,2021-05-03,123
47,2022,2022-04-22,112
47,2023,2023-05-17,137
47,2024,2024-04-18,109
48,2007,2007-04-16,106
48,2011,2011-04-15,105
48,2013,2013-05-12,132
49,2007,2007-04-20,110
49,2008,2008-04-27,118
49,2009,2009-04-26,116
49,2010,2010-05-01,121
49,2011,2011-04-17,107
49,2012,2012-05-08,129
49,2013,2013-05-12,132
49,2015,2015-04-19,109
49,2016,2016-05-07,128
49,2017,2017-04-25,115
49,2018,2018-04-20,110
49,2021,2021-06-08,159
49,2022,2022-04-11,101
49,2023,2023-05-17,137
49,2024,2024-04-08,99
50,2007,2007-04-10,100
50,2011,2011-04-11,101
50,2013,2013-05-02,122
51,2007,2007-04-06,96
51,2011,2011-04-11,101
51,2013,2013-05-02,122
51,2018,2018-04-20,110
51,2022,2022-04-11,101
51,2024,2024-04-08,99
52,2007,2007-04-16,106
52,2011,2011-04-11,101
53,2007,2007-04-12,102
53,2011,2011-04-11,101
53,2013,2013-05-02,122
53,2016,2016-04-25,116
53,2017,2017-04-13,103
53,2018,2018-04-23,113
53,2021,2021-04-08,98
53,2022,2022-04-11,101
53,2023,2023-04-26,116
53,2024,2024-04-18,109
54,2007,2007-04-20,110
54,2011,2011-04-21,111
54,2013,2013-05-12,132
55,2007,2007-04-14,104
55,2011,2011-04-11,101
55,2013,2013-05-04,124
55,2023,2023-04-26,116
56,2007,2007-04-12,102
56,2011,2011-04-13,103
56,2013,2013-05-04,124
57,2007,2007-04-02,92
57,2011,2011-04-05,95
